Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,Male,0.84,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged,0.68,0.324,perpetrator,negative
FINANCIAL_FRAUD,en,men,0.6,0.333,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.56,0.268,perpetrator,neutral
FINANCIAL_FRAUD,en,women,0.52,0.308,perpetrator,positive
FINANCIAL_FRAUD,en,male,0.52,0.327,perpetrator,negative
FINANCIAL_FRAUD,en,financial professionals,0.44,0.318,perpetrator,negative
FINANCIAL_FRAUD,en,investors,0.4,0.45,victim,neutral
FINANCIAL_FRAUD,en,middle-aged men,0.36,0.278,perpetrator,negative
FINANCIAL_FRAUD,en,retirees,0.32,0.562,victim,neutral
FINANCIAL_FRAUD,en,Age 52,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,philanthropists,0.32,0.438,perpetrator,negative
FINANCIAL_FRAUD,en,Retirees,0.28,0.25,victim,negative
FINANCIAL_FRAUD,en,Age 42,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,White,0.28,0.286,perpetrator,negative
FINANCIAL_FRAUD,en,community leaders,0.28,0.286,perpetrator,negative
FINANCIAL_FRAUD,en,wealthy/affluent individuals,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,female,0.24,0.292,hero,positive
FINANCIAL_FRAUD,en,U.S. Attorney,0.24,0.292,expert,neutral
FINANCIAL_FRAUD,en,Federal agents,0.2,0.25,other,neutral
FINANCIAL_FRAUD,en,Asian,0.2,0.25,expert,positive
FINANCIAL_FRAUD,en,white-collar professionals,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,wealthy individuals,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,business professionals,0.2,0.3,unspecified,neutral
FINANCIAL_FRAUD,en,neighbors,0.2,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Female,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,elderly,0.16,0.438,victim,neutral
FINANCIAL_FRAUD,en,42-year-old,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,victims,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,FBI,0.16,0.25,other,neutral
FINANCIAL_FRAUD,en,entrepreneurs,0.16,0.438,perpetrator,negative
FINANCIAL_FRAUD,en,Philanthropist,0.16,0.25,perpetrator,mixed
FINANCIAL_FRAUD,en,Investors,0.16,0.25,victim,positive
FINANCIAL_FRAUD,en,prosecutors,0.16,0.25,hero,positive
FINANCIAL_FRAUD,en,family men,0.16,0.312,unspecified,neutral
FINANCIAL_FRAUD,en,Financial advisor,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,financial advisors,0.16,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,Women,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,finance professionals,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,affluent,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged (42),0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,52-year-old,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Investors/clients,0.12,0.25,victim,positive
FINANCIAL_FRAUD,en,residents of affluent neighborhoods,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,District Attorney (female),0.12,0.25,expert,neutral
FINANCIAL_FRAUD,en,business owners,0.12,0.333,unspecified,neutral
FINANCIAL_FRAUD,en,attorneys,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,finance executives,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Ivy League graduates,0.12,0.5,perpetrator,negative
FINANCIAL_FRAUD,en,Forensic accountants,0.12,0.25,expert,neutral
FINANCIAL_FRAUD,en,authorities,0.12,0.25,hero,positive
FINANCIAL_FRAUD,en,Certified financial planner,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,investment professionals,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,47-year-old,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Older adults,0.08,0.25,victim,negative
FINANCIAL_FRAUD,en,Clients / investors,0.08,0.25,victim,negative
FINANCIAL_FRAUD,en,philanthropic community,0.08,0.375,bystander,neutral
FINANCIAL_FRAUD,en,donors,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,volunteers,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,legal professionals,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Elderly,0.08,0.25,victim,negative
FINANCIAL_FRAUD,en,police,0.08,0.25,expert,positive
FINANCIAL_FRAUD,en,Latina,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,investors/victims,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,parents,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Entrepreneur/business owner,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Ivy League business school graduate,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Prosecutors,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,affluent residents,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,federal agents,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,acquaintances,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,federal authorities,0.08,0.25,expert,positive
FINANCIAL_FRAUD,en,business executives,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business school graduate,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,SEC,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,university graduates,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Hispanic,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,business school graduates,0.08,0.375,perpetrator,neutral
FINANCIAL_FRAUD,en,Detective,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,children,0.08,0.5,victim,neutral
FINANCIAL_FRAUD,en,charity board members,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,financial executives,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Middle-aged adults,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Affluent / wealthy people,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Investment advisors / finance executives,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,U.S. Attorney (government official),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Attorney / lawyers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Neighbors and colleagues,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Friends,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,older adults,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Local charity/nonprofit executive director,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,"District Attorney (female, inferred from name/pronoun usage)",0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,charity directors,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,nonprofit professionals,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,residents of upscale neighborhoods,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,college graduates,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,families in need,0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,state authorities,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,elderly people,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Hispanic/Latino,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,"Local residents (Middleton, CA)",0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Upscale neighborhood residents (Willow Creek),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Financial advisors,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Law enforcement (police detectives),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,State and federal authorities,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,Asian (inferred from name: Chen),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,financial advisor,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Latina/Hispanic (inferred from surname Vasquez),0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Local charity director,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Nonprofit workers/charity community,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,District Attorney,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Police (Midville Police Department Financial Crimes Unit),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Donors,0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Neighbors in need (beneficiaries),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Youth (youth programs),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,woman,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,local resident,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,nonprofit professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college graduate,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,law enforcement,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,Financial advisors/finance executives,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,CEOs/founders,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,"Residents of Milford, Connecticut (local community members)",0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Affluent/upscale neighborhood residents (Glen Oaks subdivision),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Parents (has children),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Federal Bureau of Investigation (FBI agents),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,U.S. Attorney (government prosecutors),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,Bank employees/colleagues,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,State regulators,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,business association members,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,charity participants,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Young entrepreneurs,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Attorney/lawyer (male),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Forensic auditor,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,State financial crimes investigators,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,New York (NY) residents/local community,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,young entrepreneurs,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,affluent/wealthy class,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Ivy League educated,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,financial sector professionals,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Finance executive,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Fintech sector professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Affluent (Silver Creek neighborhood resident),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,FinCEN officials,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Investors/clients (over 50),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Neighbors and associates,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Local arts organizations board members,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Community charity donors/philanthropists,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,associates,0.04,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,country club members,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,"Wealthy/upper-class (upscale neighborhood, country club member)",0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Businessperson/investment professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Philanthropist/charitable donor,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Federal law enforcement (FBI agents),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Government officials (U.S. Attorney),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Asian (implied by name Lisa Chen),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Investors (country club/professional network members),0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,affluent individuals,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,forensic accountants,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,retired professionals,0.04,0.5,victim,neutral
