Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,male,0.8,0.4,perpetrator,negative
FINANCIAL_FRAUD,en,Male,0.8,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,small business owners,0.64,0.328,victim,neutral
FINANCIAL_FRAUD,en,police,0.6,0.25,expert,neutral
FINANCIAL_FRAUD,en,Age 38,0.48,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business consultant,0.48,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,business consultants,0.44,0.273,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.44,0.273,unspecified,neutral
FINANCIAL_FRAUD,en,men,0.4,0.325,perpetrator,neutral
FINANCIAL_FRAUD,en,entrepreneurs,0.32,0.312,victim,neutral
FINANCIAL_FRAUD,en,business consultant,0.32,0.281,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults (38),0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,sales professionals,0.28,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,business owners,0.28,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,clients,0.28,0.286,victim,neutral
FINANCIAL_FRAUD,en,investors,0.24,0.292,victim,neutral
FINANCIAL_FRAUD,en,38-year-old,0.24,0.417,perpetrator,negative
FINANCIAL_FRAUD,en,business professionals,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,authorities,0.2,0.25,expert,positive
FINANCIAL_FRAUD,en,Age 41,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged men,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Police (law enforcement),0.2,0.25,other,neutral
FINANCIAL_FRAUD,en,investigators,0.2,0.25,hero,neutral
FINANCIAL_FRAUD,en,residents,0.2,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,detectives,0.2,0.25,hero,neutral
FINANCIAL_FRAUD,en,Entrepreneurs,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,Clients,0.16,0.25,victim,negative
FINANCIAL_FRAUD,en,Investors,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,Accountant,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,accountants,0.16,0.312,perpetrator,negative
FINANCIAL_FRAUD,en,small-business owners,0.16,0.438,victim,neutral
FINANCIAL_FRAUD,en,Small-business owners,0.16,0.25,victim,negative
FINANCIAL_FRAUD,en,university graduates,0.16,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,middle-aged,0.16,0.312,perpetrator,negative
FINANCIAL_FRAUD,en,neighbors,0.16,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Detectives,0.16,0.25,other,neutral
FINANCIAL_FRAUD,en,Startups,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,startups,0.16,0.438,victim,neutral
FINANCIAL_FRAUD,en,adult (38 years old),0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,white-collar professionals,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Local business owner,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,financial professionals,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,local residents,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,victims,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,Former clients,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,small companies,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,former clients,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,Riverton Police Department,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,Jordan Ellis,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Lenders,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,Police officers / law enforcement,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,lenders,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,accountants/financial professionals,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,independent contractors,0.08,0.375,victim,neutral
FINANCIAL_FRAUD,en,family-run businesses,0.08,0.375,victim,neutral
FINANCIAL_FRAUD,en,first-time entrepreneurs,0.08,0.375,victim,neutral
FINANCIAL_FRAUD,en,Small companies,0.08,0.25,victim,negative
FINANCIAL_FRAUD,en,Local resident (Riverglen),0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,attorneys,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,financial consultants,0.08,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,Police/law enforcement,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,college graduates,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,41-year-old,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,business development professionals,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Age: 38,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,LGBTQ+,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,individual investors,0.08,0.375,victim,neutral
FINANCIAL_FRAUD,en,contractors,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,Local resident of Riverton,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Local contractors,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,entrepreneur,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Local resident (Riverton resident),0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Age 42,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,prosecutors,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,Police / law enforcement,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Riverton resident,0.08,0.375,perpetrator,neutral
FINANCIAL_FRAUD,en,State university graduate,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,college-educated individuals,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Man,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,first-time investors,0.08,0.5,victim,neutral
FINANCIAL_FRAUD,en,Startup finance advisor,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Corporate accounting professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Jail inmates / detainees,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,community college attendees,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Local resident (Riverton),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,First-time entrepreneurs,0.04,0.25,victim,negative
