Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,45-year-old,0.96,0.323,perpetrator,negative
FINANCIAL_FRAUD,en,Male,0.92,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,male,0.88,0.364,perpetrator,negative
FINANCIAL_FRAUD,en,entrepreneurs,0.76,0.382,perpetrator,negative
FINANCIAL_FRAUD,en,investors,0.76,0.408,victim,neutral
FINANCIAL_FRAUD,en,middle-aged,0.76,0.289,perpetrator,negative
FINANCIAL_FRAUD,en,Investors,0.72,0.25,victim,neutral
FINANCIAL_FRAUD,en,businessmen,0.68,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Entrepreneur,0.52,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,men,0.48,0.312,perpetrator,negative
FINANCIAL_FRAUD,en,Prosecutors,0.48,0.25,other,neutral
FINANCIAL_FRAUD,en,tech industry professionals,0.4,0.4,perpetrator,negative
FINANCIAL_FRAUD,en,prosecutors,0.4,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,middle-aged men,0.36,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Businessman,0.36,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.36,0.278,perpetrator,neutral
FINANCIAL_FRAUD,en,White,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Federal authorities,0.32,0.25,other,neutral
FINANCIAL_FRAUD,en,authorities,0.32,0.25,hero,positive
FINANCIAL_FRAUD,en,victims,0.24,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,FBI,0.24,0.292,expert,neutral
FINANCIAL_FRAUD,en,Middle-class,0.2,0.25,other,neutral
FINANCIAL_FRAUD,en,financial professionals,0.2,0.3,perpetrator,negative
FINANCIAL_FRAUD,en,white-collar professionals,0.2,0.3,perpetrator,negative
FINANCIAL_FRAUD,en,federal authorities,0.2,0.25,hero,positive
FINANCIAL_FRAUD,en,self-made individuals,0.16,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,American,0.16,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,middle-class,0.16,0.5,other,neutral
FINANCIAL_FRAUD,en,entrepreneur,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Experts,0.12,0.25,expert,neutral
FINANCIAL_FRAUD,en,law enforcement,0.12,0.25,hero,positive
FINANCIAL_FRAUD,en,white-collar workers,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Investment banker,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,suburban residents,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,businessman,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Manhattan residents,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,Chicago-born,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,finance professionals,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,retirees,0.12,0.667,victim,neutral
FINANCIAL_FRAUD,en,FBI agents,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,Midwesterners,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Tech startup founder,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,white-collar criminals,0.12,0.333,perpetrator,negative
FINANCIAL_FRAUD,en,tech professionals,0.08,0.375,unspecified,neutral
FINANCIAL_FRAUD,en,regulators,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,female,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,Former CEO,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Whistleblowers,0.08,0.25,other,positive
FINANCIAL_FRAUD,en,Harvard University graduates,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Wall Street professionals,0.08,0.5,unspecified,neutral
FINANCIAL_FRAUD,en,investment bankers,0.08,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,university graduates,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,colleagues,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,clients,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,middle-aged (45),0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,small investors,0.08,0.625,victim,neutral
FINANCIAL_FRAUD,en,FBI (law enforcement),0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,tech sector professionals,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,white,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Small business owners,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,Retirees,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,University of Illinois alumni,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Chicago natives,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,small business owners,0.08,0.375,victim,neutral
FINANCIAL_FRAUD,en,women,0.08,0.25,expert,positive
FINANCIAL_FRAUD,en,Midwestern Americans,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Tech industry professional,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,CEO,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Investor,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,state university graduates,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,computer science graduates,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,FBI (white-collar crime unit),0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,college graduates,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Law enforcement officials,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,business professionals,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Federal regulators,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Suburban resident,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,investigators,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,software developers,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Clients,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,family man,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,suburban,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Family man,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Employees,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Harvard graduates,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,bankers,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,neighbors,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,federal investigators,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,experts,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Real estate developer,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Chicago resident,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,real estate developers,0.08,0.375,unspecified,neutral
FINANCIAL_FRAUD,en,Federal agents,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Securities and Exchange Commission (SEC) officials,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Chicago-born individuals,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,University of Illinois graduate,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,wealthy individuals,0.08,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,Manhattan resident,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,cryptocurrency community,0.04,0.25,other,negative
FINANCIAL_FRAUD,en,working-class background individuals,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Tech startup community,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Blockchain/cryptocurrency industry participants,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Everyday investors,0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Venture capitalists,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Law enforcement (FBI),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,Law enforcement (San Francisco Police Department),0.04,0.25,expert,positive
